Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.27E-05,5.84E-05,0.013163474,0,0,0,0.27655766,0.000306944,-2.63E-05,-2.17E-07,0.000196197,-1.11E-06,0.000381711,0,0,0,0,0,0,package://sukinee_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/base_link.STL,,底座电机�?1;rs00-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.003281936,-0.001012642,0.034164529,0,0,0,0.17342473,8.50E-05,2.29E-07,-7.20E-07,7.02E-05,-1.22E-07,8.93E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link1.STL,,肩部垫块-1;云台基座-1;rs00-2,坐标�?,基准�?,Joint1,continuous,-4.56E-05,-0.00029999,0.051399,0,0,0,base_link,0,0,1,5,3.14,,,,,,,,,,
Link2,0.163147205,0.007724984,-0.025164784,0,0,0,0.492210738,0.000133206,-1.90E-05,-2.02E-05,0.001460411,-3.49E-07,0.001474436,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link2.STL,,肘部垫片-2;肘部垫片-1;第一级大�?1;20x27x4-1;肘部轴承内连�?1;第一级大臂右-1;肘部垫片�?1;Mirror大臂外牌-2;大臂填充-1;大臂外牌-1;垫片2-2;垫片2-1;一级垫�?1;rs00-3,坐标�?,基准�?,Joint2,revolute,0.0068769,-0.027546,0.042346,-1.5708,0,3.1416,Link1,0,0,1,5,3.14,-0.79,0.79,,,,,,,,
Link3,-0.123533259,-0.053147741,-0.028981854,0,0,0,0.342921181,8.98E-05,-5.81E-05,-1.07E-05,0.000766372,-9.66E-07,0.000784594,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link3.STL,,肩部垫片-1;肩部垫片-2;大臂垫片-1;肘部关节�?1;肘部连接�?1;20x27x4-2;肘部限位打印�?1;小臂钣金�?1;小臂钣金�?-2;小臂填充-1;牌子垫片-1;Mirror小臂�?2;小臂�?1;牌子垫片-2;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-507_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-509_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_02_EB461-502_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_31_EB463-510_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/00MINI-000_ASM_1_ASM_1_ASM_00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/0001755650_00MINI-000_ASM_1_ASM_1_ASM_00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/0001755652_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05-2/RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/0001755652_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-2,坐标�?,基准�?,Joint3,revolute,0.26443,0.0031418,0.0039907,0,0,0,Link2,0,0,1,5,3.14,-0.79,0.79,,,,,,,,
Link4,0.032505733,0.034851887,-0.026497757,0,0,0,0.053505928,3.36E-05,-9.37E-06,-1.44E-07,4.45E-05,9.87E-08,3.34E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link4.STL,,肩部垫片-3;肩部垫片-4;腕区连接打印�?1;腕连接钣�?1;20x27x4-3;肘部轴承内连�?3;RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-507_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-509_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_02_EB461-502_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_31_EB463-510_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-1/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_2_16_001425_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;腕部左右限位-1;腕部左右限位-2,坐标�?,基准�?,Joint4,revolute,-0.24836,-0.068439,-0.0072675,0,0,3.1416,Link3,0,0,1,1.6,3.14,-0.79,0.79,,,,,,,,
Link5,-0.005673417,-6.72E-05,0.036057527,0,0,0,0.042177959,1.36E-05,-6.36E-08,4.27E-07,1.21E-05,-1.72E-08,1.47E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link5.STL,,腕区连接打印�?-1;腕部钣金-1;RS05.STEP-2/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-507_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-2/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_31_EB463-510_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-2/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_02_EB461-502_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-2/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-509_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;腕部初始限位-1;RS05.STEP-2/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_2_16_001425_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1,坐标�?,基准�?,Joint5,revolute,0.061641,0.045136,-0.024175,1.5708,0,0,Link4,0,0,1,1.6,3.14,-0.79,0.79,,,,,,,,
Link6,0.005543785,-0.015008253,0.042826789,0,0,0,0.106187484,3.01E-05,-3.62E-05,-1.27E-06,9.61E-05,-1.32E-06,0.00011756,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link6.STL,,夹爪自旋连接1-1;夹爪自旋连接2-2;RS05.STEP-3/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-509_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-3/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_06_EB463-507_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-3/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_2_16_001425_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-3/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_02_EB461-502_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;RS05.STEP-3/FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1/1_1_31_EB463-510_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE.STEP-1;intel realsense d435 model-1;D435固定-2;导轨链接打印�?-1;导轨链接钣金-1,坐标�?,基准�?,Joint6,continuous,0.019993,-0.00056516,0.044999,1.5708,0,1.5708,Link5,0,0,1,1.6,3.14,-0.79,0.79,,,,,,,,
Link8,5.86E-06,1.25E-05,-0.000913385,0,0,0,0.068551573,6.31E-05,-1.29E-06,-1.94E-08,6.15E-07,-8.70E-07,6.33E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link8.STL,0.647058824,0.619607843,0.588235294,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link8.STL,,齿条L82W5M 0.9-1;MGN9 Rail1-2;齿条L82W5M 0.9-2,坐标�?,,Joint8,fixed,-0.0011196,0.00014947,0.074992,0,0,-1.1345,Link6,0,0,0,,,,,,,,,,,,
Link7,-8.69E-05,3.68E-08,0.005729963,0,0,0,0.005695495,4.11E-07,-3.13E-14,-4.88E-09,4.11E-07,2.07E-12,7.33E-07,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link7.STL,,夹爪齿轮-1,坐标�?,基准�?,Joint7,revolute,0.00010901,0.00023352,-0.016998,0,0,1.1345,Link8,0,0,1,1.6,3.14,-0.79,0.79,,,,,,,,
Link9,-0.024386051,0.000940994,0.096827485,0,0,0,0.051499125,8.29E-06,-7.26E-08,-2.42E-06,2.20E-05,2.17E-12,2.34E-05,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link9.STL,0.898039216,0.917647059,0.929411765,1,0,0,0,0,0,0,package://sukinee_urdf/meshes/Link9.STL,,MGN9-C 11-1;链条连接打印�?2;夹爪连接打印�?1;夹爪-1,右夹爪系,右夹爪轴,right_finger,prismatic,-0.00090214,-0.041949,0.0075419,-0.41597,1.5556,1.1345,Link8,0,0,1,1,0.05,-0.006,0.006,,,,,,,,
