sample_id,relative_pose_source,base_ref_source,weight,before_translation_error_m,before_rotation_error_rad,after_translation_error_m,after_rotation_error_rad,improved_translation_m,improved_rotation_rad
P0001,same_frame,live,1.0,0.0057890058809896925,0.04109257186886733,0.005422444591070469,0.03943909717178719,0.00036656128991922367,0.0016534746970801387
P0002,same_frame,live,1.0,0.005035009544189335,0.027972085911446853,0.004096151288140713,0.028780627092926395,0.0009388582560486223,-0.0008085411814795426
P0003,same_frame,live,1.0,0.0032580185754006235,0.016725949977917143,0.0027869938368164687,0.02266311130866452,0.0004710247385841548,-0.005937161330747377
P0004,same_frame,live,1.0,0.004320412303190042,0.0303570582659603,0.0026541863272677314,0.017498684815984024,0.0016662259759223103,0.012858373449976278
P0005,same_frame,live,1.0,0.007715649025254963,0.03671496036162823,0.00827028088767603,0.014131945457926698,-0.0005546318624210667,0.022583014903701536
P0006,same_frame,live,1.0,0.002421637526877958,0.027916591017849456,0.0039189422986859145,0.03426544858418939,-0.0014973047718079566,-0.006348857566339933
P0007,same_frame,live,1.0,0.006302751483535289,0.037047756892248394,0.006755565734967367,0.02964402327944564,-0.00045281425143207845,0.007403733612802756
P0009,same_frame,live,1.0,0.0013822699034732933,0.021281138738101772,0.0010448266789343098,0.020014343715034792,0.00033744322453898353,0.00126679502306698
P0010,same_frame,live,1.0,0.0024105446530894308,0.03418492360082316,0.001592571263864076,0.017695254967400407,0.0008179733892253547,0.016489668633422754
P0011,same_frame,live,1.0,0.0041135271483359595,0.03108449289326378,0.0037412263492019792,0.025944848263843343,0.00037230079913398023,0.005139644629420438
P0012,same_frame,live,1.0,0.00735641286343636,0.039211836248841045,0.0064588430833541766,0.026612352722889525,0.0008975697800821837,0.01259948352595152
P0013,same_frame,live,1.0,0.0035408411790386913,0.07613462894173328,0.0018005931465467637,0.07497206031199015,0.0017402480324919276,0.0011625686297431354
P0014,same_frame,live,1.0,0.007265308429893417,0.04033872945938197,0.00727260607648313,0.03692169159051278,-7.297646589713054e-06,0.0034170378688691896
P0015,same_frame,live,1.0,0.0015662229820686518,0.006108140586564339,0.0032132167055604244,0.015406320604916611,-0.0016469937234917726,-0.00929818001835227
P0016,same_frame,live,1.0,0.0023763053886168444,0.026001445765176715,0.0014125200913101305,0.03221255492245444,0.000963785297306714,-0.0062111091572777215
P0017,same_frame,live,1.0,0.0017962523842566089,0.018144572439923186,0.0014518092897683656,0.02691252456437923,0.00034444309448824323,-0.008767952124456045
P0018,same_frame,live,1.0,0.009912467560143677,0.03147191931139657,0.01106634016860528,0.030014086428300026,-0.0011538726084616025,0.001457832883096543
P0019,same_frame,live,1.0,0.002405774007490216,0.010435084673262688,0.005268248012333929,0.014265707823380444,-0.0028624740048437125,-0.0038306231501177568
P0020,same_frame,live,1.0,0.007985947488743733,0.04990301801020365,0.006411350338500587,0.035516539732044515,0.0015745971502431465,0.014386478278159136
P0022,cached_base_ref,cached,0.5,0.003264921023855854,0.030725105537027616,0.00363836897051193,0.019584630212215074,-0.00037344794665607585,0.011140475324812542
P0023,same_frame,live,1.0,0.005492955371912663,0.02596515186840195,0.0031403496769177755,0.013325831527461215,0.0023526056949948874,0.012639320340940735
P0024,same_frame,live,1.0,0.0036527866434802984,0.021864373944643987,0.003470220090207625,0.01760902363237905,0.00018256655327267323,0.004255350312264938
P0025,same_frame,live,1.0,0.005810491787316063,0.009485672709084425,0.0032247460503923766,0.016064724317205688,0.0025857457369236865,-0.006579051608121262
P0026,same_frame,live,1.0,0.0035932380310090294,0.026905510178154454,0.0028103354169906392,0.0076490783883933645,0.0007829026140183902,0.019256431789761087
P0027,cached_base_ref,cached,0.5,0.004701164149619785,0.035967758251419485,0.0037740016339190773,0.018565888364528594,0.0009271625157007079,0.01740186988689089
P0028,cached_base_ref,cached,0.5,0.005635818410251223,0.04432871922910326,0.004842258317230312,0.021421165727824005,0.0007935600930209109,0.022907553501279255
P0029,same_frame,live,1.0,0.003430650246464998,0.015380822292994952,0.002655857201778521,0.013007006964423693,0.0007747930446864769,0.0023738153285712583
P0030,same_frame,live,1.0,0.006923735274177856,0.04059532927967474,0.002821704201107771,0.012621677963255076,0.0041020310730700855,0.027973651316419663
P0031,same_frame,live,1.0,0.003447664879724702,0.017484193022759588,0.0014861140784268789,0.010925020886960334,0.001961550801297823,0.006559172135799254
P0032,same_frame,live,1.0,0.006299445984501192,0.024175001626541175,0.0020267132397239697,0.01708721398970352,0.004272732744777222,0.007087787636837654
P0033,same_frame,live,1.0,0.006309233735840174,0.04049952297557115,0.0008831586907193752,0.015856138680749494,0.005426075045120799,0.024643384294821654
P0034,same_frame,live,1.0,0.0032417273758801844,0.02394366717577098,0.0012211572987772636,0.007408910930458501,0.0020205700771029206,0.016534756245312476
P0035,same_frame,live,1.0,0.009201463949783318,0.026234971079153943,0.0027947536909907235,0.01579374715957122,0.0064067102587925945,0.010441223919582722
P0036,same_frame,live,1.0,0.00953501127755826,0.024898111137191696,0.003208134295175597,0.010831028704983906,0.0063268769823826634,0.01406708243220779
P0037,same_frame,live,1.0,0.00205379470878253,0.04584373809470642,0.00406539609926916,0.03795692658215447,-0.0020116013904866305,0.007886811512551946
P0038,same_frame,live,1.0,0.0031563343229425362,0.019238199299088675,0.002645315284714643,0.014835390169335464,0.0005110190382278932,0.0044028091297532105
